System_name,State_Cov,Function_cov,NUMM,NUMTM,Fiascoed,Pseudo,NUMTTM,UC,Num_Strings,Pseudo_Strings,Num_Integer,Pseudo_Integer,Num_Boolean,Pseudo_Booleans,Num_Float,Pseudo_Float,Num_Tests
Hashids-Python,0.97,0.94,16,15,10,8,7,0.44,7,5,1,1,2,2,0,0,59
Bleach,0.48,0.41,368,152,8,2,150,0.41,8,2,0,0,0,0,0,0,312
Pycco,0.77,0.86,22,19,6,5,14,0.64,6,5,0,0,0,0,0,0,17
Howdoi,0.78,0.95,20,19,2,0,19,0.95,2,0,0,0,0,0,0,0,18
Flashtext,0.81,0.33,42,14,7,4,10,0.24,3,0,0,0,4,4,0,0,23
Honcho,0.85,0.69,58,40,7,5,35,0.60,4,2,0,0,3,3,0,0,124
Maya,0.90,0.50,88,44,13,3,41,0.47,8,2,1,0,3,1,1,0,277
Gator,0.99,0.86,92,79,54,30,49,0.53,6,3,14,3,34,25,0,0,505
Hatch,1.00,0.56,134,75,14,6,69,0.51,13,6,0,0,1,0,0,0,339
Nikola,0.67,0.44,732,319,16,9,310,0.42,12,8,2,0,2,1,0,0,205
